Wall time,Step,Value
1677138034.495518,58400,-0.19900000095367432
1677138305.872714,58500,-0.24400000274181366
1677138580.336391,58600,-0.19900000095367432
1677138851.699358,58700,-0.21700000762939453
1677139400.530882,58900,-0.19900000095367432
1677139671.896687,59000,-0.22600001096725464
1677139944.465451,59100,-0.19900000095367432
1677140491.398936,59300,-0.19900000095367432
1677141036.585886,59500,-0.19900000095367432
1677141310.127395,59600,-0.19900000095367432
1677141583.21049,59700,-0.19900000095367432
1677141842.995254,59800,-0.4779999852180481
1677143352.596649,60031,-0.03100000135600567
1677143616.143772,60131,-0.34299999475479126
1677144141.056576,60331,-0.5320000052452087
1677144411.562483,60431,-0.23499999940395355
1677144681.396533,60531,-0.19900000095367432
1677144951.429535,60631,-0.24400000274181366
1677145221.028537,60731,-0.24400000274181366
1677145756.035925,60931,-0.24400000274181366
1677146025.175596,61031,-0.21700000762939453
1677146561.803378,61231,-0.289000004529953
1677146833.87403,61331,-0.23499999940395355
1677147105.567672,61431,-0.19900000095367432
1677147375.522381,61531,-0.19900000095367432
1677147644.544601,61631,-0.2529999911785126
1677148455.77906,61931,-0.19900000095367432
1677149723.304115,62100,-0.4959999918937683
1677149994.341274,62200,-0.19900000095367432
1677150263.537834,62300,-0.20800000429153442
1677150532.972809,62400,-0.20800000429153442
1677150803.666886,62500,-0.20800000429153442
1677151600.846174,62800,-0.19900000095367432
1677151871.895231,62900,-0.19900000095367432
1677152138.046099,63000,-0.2619999945163727
1677152401.978845,63100,-0.33399999141693115
1677152670.6739,63200,-0.19900000095367432
1677152940.975901,63300,-0.23499999940395355
1677153609.606845,63530,-0.030000001192092896
1677153882.113676,63630,-0.19900000095367432
1677154411.139228,63830,-0.22600001096725464
1677154677.100836,63930,-0.2709999978542328
1677155937.451439,64100,-0.2800000011920929
1677156204.346812,64200,-0.2800000011920929
1677156456.926692,64261,-0.06100000441074371
1677157242.727554,64556,-0.6579999923706055
1677157513.597528,64656,-0.20800000429153442
1677157784.24119,64756,-0.20800000429153442
1677157920.363898,64803,-0.04700000211596489
1677159000.177607,65250,-0.05900000408291817
1677159378.594428,65400,-0.05000000074505806
1677159642.754403,65490,-0.09000000357627869
1677159912.128309,65590,-0.19900000095367432
1677160182.166287,65690,-0.22600001096725464
1677160448.962832,65790,-0.2800000011920929
1677160843.805473,65918,-0.08100000023841858
1677162116.562335,66100,-0.2709999978542328
1677162380.627044,66200,-0.3070000112056732
1677162504.60888,66224,-0.024000000208616257
1677162773.631893,66324,-0.19900000095367432
1677163036.052503,66424,-0.45100000500679016
1677163551.404871,66624,-0.35199999809265137
1677163800.162954,66724,-0.7389999628067017
1677163809.350637,66743,-0.02800000086426735
1677163939.675443,66782,-0.039000000804662704
1677164459.849011,66982,-0.2980000078678131
1677164708.108562,67082,-0.6850000023841858
1677164977.155572,67182,-0.21700000762939453
1677165232.0391,67256,-0.20000000298023224
1677165489.966278,67369,-0.6309999823570251
1677165637.174358,67446,-0.07700000703334808
1677165905.984241,67546,-0.20800000429153442
1677166150.209421,67646,-0.8109999895095825
1677166407.252016,67746,-0.550000011920929
1677166651.61361,67846,-0.847000002861023
1677168158.17856,68100,-0.21700000762939453
1677168928.562932,68400,-0.43299999833106995
1677169201.256074,68500,-0.19900000095367432
1677169726.211227,68700,-0.5590000152587891
1677170754.660336,69100,-0.22600001096725464
1677171010.791069,69200,-0.4869999885559082
1677171541.55179,69400,-0.2619999945163727
1677171804.25371,69500,-0.34299999475479126
1677172336.91031,69700,-0.20800000429153442
1677172843.255268,69866,-0.19900000095367432
1677174143.910585,70100,-0.2800000011920929
1677174406.565497,70200,-0.32499998807907104
1677174675.8317,70300,-0.19900000095367432
1677175071.977265,70435,-0.05299999937415123
1677175331.351433,70535,-0.43299999833106995
1677175597.454898,70635,-0.2980000078678131
1677175866.387436,70735,-0.21700000762939453
1677176132.018313,70835,-0.35199999809265137
1677176400.97976,70935,-0.19900000095367432
1677176665.948343,71035,-0.2800000011920929
1677176935.635888,71135,-0.19900000095367432
1677177182.163747,71235,-0.8199999928474426
1677177451.565107,71335,-0.20800000429153442
1677177720.841687,71435,-0.19900000095367432
1677178252.238481,71635,-0.19900000095367432
1677179057.749973,71935,-0.2529999911785126
1677180307.327414,72076,-0.23800000548362732
1677180569.798147,72176,-0.3160000145435333
1677181102.840427,72376,-0.2619999945163727
1677181370.220724,72476,-0.2619999945163727
1677181638.634281,72576,-0.22600001096725464
1677181904.227215,72676,-0.2800000011920929
1677182149.279359,72776,-0.7389999628067017
1677183336.477684,73202,-0.026000000536441803
1677183606.124106,73302,-0.21700000762939453
1677184393.021003,73602,-0.5230000019073486
1677184646.643174,73702,-0.5230000019073486
1677184913.511497,73802,-0.2619999945163727
1677185181.986973,73902,-0.19900000095367432
1677186497.822554,74100,-0.3070000112056732
1677187157.163161,74348,-0.08399999886751175
1677187422.10104,74434,-0.0860000029206276
1677187674.088562,74534,-0.6579999923706055
1677187939.11393,74634,-0.2980000078678131
1677188195.128118,74734,-0.4959999918937683
1677188317.19612,74754,-0.020000001415610313
1677188586.569423,74854,-0.20800000429153442
1677188838.367683,74954,-0.6129999756813049
1677188987.462213,75049,-0.23000000417232513
1677189256.725173,75149,-0.19900000095367432
1677189526.90766,75249,-0.19900000095367432
1677189786.104883,75349,-0.3970000147819519
1677190306.720301,75549,-0.6489999890327454
1677190569.78516,75649,-0.3610000014305115
1677190825.107223,75749,-0.5230000019073486
1677191094.002718,75849,-0.20800000429153442
1677191357.058233,75938,0.902999997138977
1677192616.904094,76100,-0.21700000762939453
1677192881.894063,76200,-0.21700000762939453
1677193005.078023,76226,-0.026000000536441803
1677193270.376308,76317,-0.09100000560283661
1677193946.066549,76578,-0.19900000095367432
1677194343.281728,76716,-0.03800000250339508
1677194610.702222,76816,-0.23499999940395355
1677194759.450071,76896,-0.03700000047683716
1677195278.628474,77051,0.9459999799728394
1677195419.894675,77117,-0.07500000298023224
1677195682.221858,77217,-0.3610000014305115
1677195812.561912,77256,-0.039000000804662704
1677195822.619159,77276,-0.020000001415610313
1677196226.412806,77427,-0.19900000095367432
1677196492.644861,77527,-0.23499999940395355
1677197567.077828,77927,-0.19900000095367432
1677198874.027512,78100,-0.19900000095367432
1677199142.667329,78200,-0.19900000095367432
1677199384.92278,78300,-0.8740000128746033
1677199658.703801,78400,-0.19900000095367432
1677200201.132872,78600,-0.19900000095367432
1677200472.411418,78700,-0.19900000095367432
1677201017.124665,78900,-0.19900000095367432
1677201287.499002,79000,-0.19900000095367432
1677202089.848743,79300,-0.19900000095367432
1677202359.63792,79400,-0.21700000762939453
1677202605.767801,79500,-0.7839999794960022
1677202880.355316,79600,-0.19900000095367432
1677203150.357603,79700,-0.21700000762939453
1677203411.813111,79800,-0.41499999165534973
1677203674.349601,79880,-0.08000000566244125
1677203947.269284,79980,-0.19900000095367432
1677205035.887429,80100,-0.33399999141693115
1677205308.102332,80200,-0.19900000095367432
1677205563.130401,80300,-0.5770000219345093
1677205835.688142,80400,-0.19900000095367432
1677206381.10939,80600,-0.19900000095367432
1677206922.553399,80800,-0.19900000095367432
1677207191.126468,80900,-0.2709999978542328
1677207736.823404,81100,-0.19900000095367432
1677208009.155681,81200,-0.19900000095367432
